Frequency (MHz)		Gain (dB)
25.6530582905		74.7375029038
25.6896793842		74.7504994501
25.726300478		74.7571733512
25.7629215717		74.676080941
25.7995426655		74.7801998874
25.8361637592		74.7908961109
25.872784853		74.8018894449
25.9094059467		74.811805558
25.9460270405		74.8256194785
25.9826481342		74.8295838536
26.019269228		74.8442087374
26.0558903217		74.8535807327
26.0925114155		74.8077775857
26.1291325092		74.8433638453
26.165753603		74.8831023266
26.2023746967		74.8897754929
26.2389957905		74.8011795844
26.2756168842		74.8140534258
26.312237978		74.7639451184
26.3488590717		74.7281802935
26.3854801655		74.7384772307
26.4221012592		74.7473235916
26.458722353		74.7546131593
26.4953434467		74.7699756111
26.5319645405		74.7782702033
26.5685856342		74.7878928884
26.605206728		74.7966295768
26.6418278217		74.8107589034
26.6784489155		74.822047927
26.7150700092		74.8277339647
26.751691103		74.8408326462
26.7883121967		74.8514730696
26.8249332905		74.8576308107
26.8615543842		74.8687801339
26.898175478		74.881409646
26.9347965717		74.8502460347
26.9714176655		74.7959840271
27.0080387592		74.8114619991
27.044659853		74.8179991208
27.0812809467		74.9289279185
27.1179020405		74.9368042678
27.1545231342		74.9486642806
27.191144228		74.9591034199
27.2277653217		74.967134283
27.2643864155		74.9784351654
27.3010075092		74.8863693464
27.337628603		74.9130528524
27.3742496967		75.0053202544
27.4108707905		75.012372224
27.4474918842		75.026086159
27.484112978		74.9500865275
27.5207340717		75.043502695
27.5573551655		74.9503038686
27.5939762592		74.9272643442
27.630597353		74.8686741164
27.6672184467		74.9489549602
27.7038395405		74.9923360668
27.7404606342		74.9012852133
27.777081728		74.9271712279
27.8137028217		75.0214212731
27.8503239155		75.0315440954
27.8869450092		75.0408223535
27.923566103		74.9631115991
27.9601871967		74.9601930615
27.9968082905		74.974298966
28.0334293842		74.9791647379
28.070050478		74.9908820337
28.1066715717		74.9960547734
28.1432926655		75.0075680395
28.1799137592		75.0149710592
28.216534853		75.0214494772
28.2531559467		75.0370133297
28.2897770405		75.0422765612
28.3263981342		75.0545329184
28.363019228		75.0652980164
28.3996403217		75.0699204987
28.4362614155		75.0790897079
28.4728825092		75.0899041649
28.509503603		75.0953931935
28.5461246967		75.1062329897
28.5827457905		75.1184293085
28.6193668842		75.1242351771
28.655987978		75.1325244941
28.6926090717		75.1421124762
28.7292301655		75.1475025079
28.7658512592		75.1593314327
28.802472353		75.167244255
28.8390934467		75.1777254229
28.8757145405		75.1858101854
28.9123356342		75.1933646079
28.948956728		75.2024540553
28.9855778217		75.2129619741
29.0221989155		75.2219608876
29.0588200092		75.2281714167
29.095441103		75.1387722403
29.1320621967		75.1451380309
29.1686832905		75.2037218296
29.2053043842		75.1983007929
29.241925478		75.2553156371
29.2785465717		75.177983124
29.3151676655		75.2065945978
29.3517887592		75.3003459426
29.388409853		75.3054385854
29.4250309467		75.317686174
29.4616520405		75.3249221209
29.4982731342		75.3328959855
29.534894228		75.335792214
29.5715153217		75.346156572
29.6081364155		75.3551904577
29.6447575092		75.3626552689
29.681378603		75.3729891674
29.7179996967		75.3798939139
29.7546207905		75.2876884327
29.7912418842		75.2641278463
29.827862978		75.2053406801
29.8644840717		75.2804313102
29.9011051655		75.3241755223
29.9377262592		75.3303135125
29.974347353		75.3333318039
30.0109684467		75.3744618425
30.0475895405		75.4544514175
30.0842106342		75.458133973
30.120831728		75.4692862256
30.1574528217		75.476079228
30.1940739155		75.3854883676
30.2306950092		75.3918171972
30.267316103		75.3953758911
30.3039371967		75.40386564
30.3405582905		75.4106857541
30.3771793842		75.4216281881
30.413800478		75.4289991354
30.4504215717		75.4380676798
30.4870426655		75.4449567363
30.5236637592		75.4548193245
30.560284853		75.3814339602
30.5969059467		75.369500915
30.6335270405		75.4582135012
30.6701481342		75.3833633809
30.706769228		75.4358382706
30.7433903217		75.4962247745
30.7800114155		75.5051504825
30.8166325092		75.5137341755
30.853253603		75.5226285959
30.8898746967		75.5273058284
30.9264957905		75.5342254429
30.9631168842		75.544296128
30.999737978		75.4691134478
31.0363590717		75.4603025873
31.0729801655		75.5635255915
31.1096012592		75.5728343627
31.146222353		75.5793581875
31.1828434467		75.6527956089
31.2194645405		75.6933939724
31.2560856342		75.7026009325
31.292706728		75.7078382175
31.3293278217		75.7484105186
31.3659489155		75.7787855998
31.4025700092		75.7296919044
31.439191103		75.8175030576
31.4758121967		75.8431050085
31.5124332905		75.8511269665
31.5490543842		75.8569958043
31.585675478		75.8653977584
31.6222965717		75.8714368561
31.6589176655		75.8777184936
31.6955387592		75.8843589187
31.732159853		75.8946469622
31.7687809467		75.8979713937
31.8054020405		75.9066983273
31.8420231342		75.9130354959
31.878644228		75.9207371127
31.9152653217		75.9237889954
31.9518864155		75.9346423837
31.9885075092		75.9398128835
32.025128603		75.9455948472
32.0617496967		75.9527193739
32.0983707905		75.9575516462
32.1349918842		75.9622482709
32.171612978		75.9700721269
32.2082340717		75.977556798
32.2448551655		75.9837517288
32.2814762592		75.990064983
32.318097353		75.9171522914
32.3547184467		76.0005760427
32.3913395405		76.0068356341
32.4279606342		76.0159867397
32.464581728		76.0221008629
32.5012028217		76.0259491701
32.5378239155		76.0357948672
32.5744450092		76.0362067315
32.611066103		76.0456804903
32.6476871967		76.0546300289
32.6843082905		76.0577504395
32.7209293842		76.0633306482
32.757550478		76.0717341204
32.7941715717		76.0771430241
32.8307926655		76.0850847621
32.8674137592		76.0878486943
32.904034853		76.138846756
32.9406559467		76.2020501904
32.9772770405		76.2057748623
33.0138981342		76.2124154105
33.050519228		76.217653285
33.0871403217		76.2229135866
33.1237614155		76.2301876069
33.1603825092		76.2356731093
33.197003603		76.2384895754
33.2336246967		76.2445895461
33.2702457905		76.2646291661
33.3068668842		76.3569523877
33.343487978		76.3145276888
33.3801090717		76.3302653754
33.4167301655		76.376132335
33.4533512592		76.3782633017
33.489972353		76.4021401499
33.5265934467		76.4659563438
33.5632145405		76.4406463912
33.5998356342		76.5049382729
33.636456728		76.5104703077
